Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6553628e061e9ef8807a92da,55198e94fdf99b36282b8a38,APPROVED,2023-11-14T12:05:38.511000Z,2023-11-14T12:14:19.633000Z,2023-11-15T19:38:46.354000Z,2023-11-14T12:14:20.236238Z,522.0,COQ89QD3,1630,53,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6553628e52e482c55d1c6e41,601573abb16bec6457789080,APPROVED,2023-11-14T12:05:40.825000Z,2023-11-14T12:15:44.040000Z,2023-11-15T19:38:46.540000Z,2023-11-14T12:15:44.631353Z,604.0,COQ89QD3,929,51,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65536292945a0ea006338752,59bb884a3c45a10001ccc4f7,APPROVED,2023-11-14T12:05:44.213000Z,2023-11-14T12:12:48.243000Z,2023-11-15T19:38:46.714000Z,2023-11-14T12:12:48.757886Z,425.0,COQ89QD3,2039,43,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
65536293d3cfceefea33869b,614712c49b3beecfb2f556a0,APPROVED,2023-11-14T12:06:07.916000Z,2023-11-14T12:12:04.339000Z,2023-11-15T19:38:46.896000Z,2023-11-14T12:12:04.746768Z,357.0,COQ89QD3,562,40,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Full-Time
655362b42b1d032be495f5e4,64da2884c87e2fb1a712b16a,APPROVED,2023-11-14T12:06:16.142000Z,2023-11-14T12:19:29.942000Z,2023-11-15T19:38:47.374000Z,2023-11-14T12:19:30.431248Z,794.0,COQ89QD3,109,52,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
655362b8d3c0c1abc6c05c47,614778280f3a996d2b520388,APPROVED,2023-11-14T12:06:20.924000Z,2023-11-14T12:13:32.324000Z,2023-11-15T19:38:47.538000Z,2023-11-14T12:13:32.767355Z,432.0,COQ89QD3,1365,49,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
655362c6d0f3e359fe107bd0,58a95ef0bb9e0f0001acaa8b,APPROVED,2023-11-14T12:08:04.574000Z,2023-11-14T12:15:06.775000Z,2023-11-15T19:38:47.693000Z,2023-11-14T12:15:07.226502Z,423.0,NOCODE,1438,51,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
655362e2890a8b830322e9f4,5f672af943a2070262b8677f,APPROVED,2023-11-14T12:07:01.871000Z,2023-11-14T12:12:20.685000Z,2023-11-15T19:38:47.875000Z,2023-11-14T12:12:21.153792Z,319.0,COQ89QD3,455,40,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
6553630352cdb716a59e974f,62c4590804317dc197ecbe8a,APPROVED,2023-11-14T12:07:31.488000Z,2023-11-14T12:17:20.309000Z,2023-11-15T19:38:48.047000Z,2023-11-14T12:17:20.957573Z,589.0,COQ89QD3,970,51,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65536307db8b6eec94ef754e,59662fb2ee166f0001959913,APPROVED,2023-11-14T12:07:40.399000Z,2023-11-14T12:14:02.029000Z,2023-11-15T19:38:48.213000Z,2023-11-14T12:14:02.606270Z,382.0,COQ89QD3,1027,43,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
