Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6570d57c54a36b45109095fc,647090588c2da260a10bde21,AWAITING REVIEW,2023-12-06T20:12:15.115000Z,2023-12-06T20:24:40.950000Z,,2023-12-06T20:24:41.552612Z,746.0,COQ89QD3,291,57,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Part-Time
6570d5bca13009a025c4088d,603ab6ce208b756898441c4b,AWAITING REVIEW,2023-12-06T20:12:50.546000Z,2023-12-06T20:21:56.368000Z,,2023-12-06T20:21:57.562142Z,546.0,COQ89QD3,967,45,Female,White,Ireland,United Kingdom,Ireland,English,No,Part-Time
6570d5f09825508acba1061e,64834ca600dfc800b8242f95,AWAITING REVIEW,2023-12-06T20:13:44.859000Z,2023-12-06T20:23:04.437000Z,,2023-12-06T20:23:04.939543Z,560.0,COQ89QD3,315,55,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6570d6ce8ecf605977c7acbf,5c87aa3539b9760017938cf2,AWAITING REVIEW,2023-12-06T20:17:24.050000Z,2023-12-06T20:24:26.675000Z,,2023-12-06T20:24:27.182850Z,423.0,COQ89QD3,1009,45,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6570e0e371f0c41fda58948a,62e234304cf51f62d5ee3e48,AWAITING REVIEW,2023-12-06T21:00:46.751000Z,2023-12-06T21:13:25.749000Z,,2023-12-06T21:13:26.478703Z,759.0,COQ89QD3,1013,58,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
656f9d25ba5f7fde8b8017a7,5f5648601f047404963b9d68,TIMED-OUT,2023-12-05T21:59:07.057000Z,,,,180081.0,,385,42,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
656f9e6badcf30e184065de2,605e491b152b38b079a9ca7c,RETURNED,2023-12-05T22:04:41.805000Z,,,,,,896,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
656f9e9c67acd566452bdeca,5afdfb3a4256e90001d5c1db,RETURNED,2023-12-05T22:05:24.561000Z,,,,,,709,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
656f9efa952870ef4ae079ae,5a29e61fc7ed3b0001823058,TIMED-OUT,2023-12-05T22:07:01.151000Z,,,,179608.0,,11,50,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
656fa012cb2e088d67d80c02,570ffae3736f6a00125577c5,TIMED-OUT,2023-12-05T22:11:35.243000Z,,,,179334.0,,899,41,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
656fa07156b2112c477724e2,568bafa939a70e000c57ffa5,RETURNED,2023-12-05T22:13:11.644000Z,,,,,,1238,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
656fa08a385d595d5df22b42,5ef20e5fa9ac1301228a263a,RETURNED,2023-12-05T22:13:30.732000Z,,,,,,1352,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
656fa08c335adf2a36ea2306,5eb463628b63a22bad15771c,RETURNED,2023-12-05T22:14:03.772000Z,,,,,,1372,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
656fa0f66660e185c0504e91,5e5d1b803676ec022dfdd13b,RETURNED,2023-12-05T22:15:18.310000Z,,,,,,839,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
